"Name","Latitude","Longitude","TimeStamp","RouteID","IsDelayed","IsOnRoute","timestampFromSampling","elapseTime","distance"
"Bus 236",39.68205,-75.74514,1733248480,29,FALSE,TRUE,"2024-12-03 05:54:23",15,0
"Bus 236",39.68203,-75.74515,1733248500,29,FALSE,TRUE,"2024-12-03 05:54:44",50,0
"Bus 236",39.68353,-75.74552,1733248580,29,FALSE,TRUE,"2024-12-03 05:56:07",10,0
"Bus 236",39.68354,-75.74554,1733248596,29,FALSE,TRUE,"2024-12-03 05:56:22",75,0
"Bus 236",39.68421,-75.75903,1733249131,29,FALSE,TRUE,"2024-12-03 06:05:18",30,0
"Bus 236",39.68423,-75.75903,1733249166,29,FALSE,TRUE,"2024-12-03 06:05:49",50,0
"Bus 236",39.66438,-75.75551,1733249523,29,FALSE,TRUE,"2024-12-03 06:11:48",41,0
"Bus 236",39.66439,-75.75549,1733249569,29,FALSE,TRUE,"2024-12-03 06:12:37",25,0
"Bus 236",39.66437,-75.75549,1733249599,29,FALSE,TRUE,"2024-12-03 06:13:03",65,0
"Bus 236",39.66439,-75.75548,1733249669,29,FALSE,TRUE,"2024-12-03 06:14:16",176,0
"Bus 236",39.68146,-75.75361,1733250252,29,FALSE,TRUE,"2024-12-03 06:23:57",25,0
"Bus 236",39.68538,-75.75818,1733250373,29,FALSE,TRUE,"2024-12-03 06:25:57",35,0
"Bus 236",39.68539,-75.75816,1733250413,29,FALSE,TRUE,"2024-12-03 06:26:38",30,0
"Bus 236",39.68426,-75.75899,1733250754,29,FALSE,TRUE,"2024-12-03 06:32:18",20,0
"Bus 311",39.67506,-75.74093,1733250754,28,FALSE,TRUE,"2024-12-03 06:32:18",20,0
"Bus 311",39.67504,-75.74089,1733250789,28,FALSE,TRUE,"2024-12-03 06:32:54",10,0
"Bus 311",39.67503,-75.74091,1733250804,28,FALSE,TRUE,"2024-12-03 06:33:10",20,0
